Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
BS Bedi (INDIA),1974-1979,10,7,2,31,13,6.2,70,44.28,0,0,1
HM Goonatilleke (SL),1982-1982,6,4,3,31,14*,31,58,53.44,0,0,0
PW Jarvis (ENG),1988-1993,16,8,2,31,16*,5.16,39,79.48,0,0,2
C Jonker (SA),2018-2018,2,2,0,31,25,15.5,33,93.93,0,0,0
GC Martin (ZIM),1994-1995,5,4,0,31,16,7.75,65,47.69,0,0,0
MN Nawaz (SL),1998-2002,3,3,1,31,15*,15.5,71,43.66,0,0,0
JD Nel (SCOT),2006-2010,19,10,8,31,11*,15.5,54,57.4,0,0,1
PADLR Sandakan (SL),2016-2019,21,12,4,31,6,3.87,88,35.22,0,0,2
MM Sharma (INDIA),2013-2015,26,9,5,31,11,7.75,66,46.96,0,0,1
PM Siddle (AUS),2009-2019,20,6,3,31,10*,10.33,30,103.33,0,0,1
Sikander Bakht (PAK),1977-1989,27,11,7,31,16*,7.75,97,31.95,0,0,2
RW Sims (ZIM),2002-2003,3,2,1,31,24,31,67,46.26,0,0,0
RD Woolley (AUS),1983-1983,4,3,2,31,16,31,38,81.57,0,0,0
M Yachad (SA),1991-1991,1,1,0,31,31,31,77,40.25,0,0,0
BE Young (AUS),1998-1999,6,3,1,31,18,15.5,47,65.95,0,0,0
GJ Batty (ENG),2002-2009,10,8,2,30,17,5,73,41.09,0,0,1
SL Boock (NZ),1978-1987,14,7,4,30,12,10,31,96.77,0,0,1
M Cheruparambil (HKG),2004-2004,2,2,0,30,30,15,52,57.69,0,0,1
PT Collins (WI),1999-2005,30,12,5,30,10*,4.28,50,60,0,0,2
BL D'Oliveira (ENG),1971-1972,4,4,1,30,17,10,43,69.76,0,0,0
Ehsan Nawaz (HKG),2014-2018,12,10,4,30,11,5,87,34.48,0,0,3
MVT Fernando (SL),2017-2019,8,8,6,30,7*,15,61,49.18,0,0,1
EE Hemmings (ENG),1982-1991,33,12,6,30,8*,5,61,49.18,0,0,1
AJ Ireland (ZIM),2005-2007,26,13,5,30,8*,3.75,101,29.7,0,0,3
FJ Klaassen (NL),2018-2019,4,3,1,30,13,15,52,57.69,0,0,0
IT Shillingford (WI),1978-1978,2,2,0,30,24,15,38,78.94,0,0,0
PA van Meekeren (NL),2013-2019,5,3,3,30,15*,-,40,75,0,0,0
JCB Vaughan (CAN),1979-1979,3,3,0,30,29,10,55,54.54,0,0,1
HN Ya France (NAM),2019-2020,7,5,4,30,11*,30,25,120,0,0,0
JS Ababu (KENYA),1999-2006,9,5,2,29,17,9.66,63,46.03,0,0,0
N Pradeep (SL),2012-2019,42,21,14,29,7,4.14,77,37.66,0,0,4
TCB Fernando (SL),2001-2003,17,10,6,29,14*,7.25,59,49.15,0,0,1
BW Hilfenhaus (AUS),2007-2012,25,11,8,29,16,9.66,69,42.02,0,0,0
Imran Abbas (PAK),2000-2000,2,2,0,29,28,14.5,63,46.03,0,0,0
DI Joyce (IRE),2006-2007,3,3,0,29,18,9.66,56,51.78,0,0,1
ARM Opatha (SL),1975-1979,5,3,0,29,18,9.66,55,52.72,0,0,1
KJ Wright (AUS),1979-1979,5,2,0,29,23,14.5,52,55.76,0,0,0
CA Young (IRE),2014-2020,14,7,2,29,11*,5.8,43,67.44,0,0,2
Adeel Raja (NL),2002-2011,21,12,2,28,8*,2.8,139,20.14,0,0,4
WW Davis (WI),1983-1988,35,5,3,28,10,14,53,52.83,0,0,0
JD Hall (IRE),2010-2010,3,3,0,28,15,9.33,75,37.33,0,0,0
Kamran Hussain (PAK),2008-2008,2,1,1,28,28*,-,21,133.33,0,0,0
Mohammad Hasnain (PAK),2019-2019,5,2,0,28,28,14,18,155.55,0,0,1
DS Mohanty (INDIA),1997-2001,45,11,6,28,18*,5.6,57,49.12,0,0,3
Taslim Arif (PAK),1980-1980,2,2,0,28,24,14,58,48.27,0,0,0
Ehsan Adil (PAK),2013-2015,6,4,1,27,15,9,42,64.28,0,0,0
TJ Franklin (NZ),1983-1988,3,3,0,27,21,9,89,30.33,0,0,1
TG Gordon (CAN),2011-2011,5,5,0,27,9,5.4,59,45.76,0,0,0
TJ Heggelman (NL),2010-2011,5,5,0,27,22,5.4,85,31.76,0,0,0
HAPW Jayawardene (SL),2003-2007,6,5,0,27,20,5.4,44,61.36,0,0,1
TP Kamungozi (ZIM),2006-2015,14,11,6,27,12*,5.4,55,49.09,0,0,2
BL Kotze (NAM),2003-2003,5,4,1,27,24*,9,51,52.94,0,0,2
DS Kulkarni (INDIA),2014-2016,12,2,2,27,25*,-,28,96.42,0,0,0
WM Lawry (AUS),1971-1971,1,1,0,27,27,27,49,55.1,0,0,0
Mohsin Kamal (PAK),1984-1989,19,6,3,27,11*,9,40,67.5,0,0,0
Mujahid Jamshed (PAK),1997-1997,4,3,1,27,23,13.5,54,50,0,0,0
Naseem Khushi (OMAN),2020-2020,2,2,0,27,27,13.5,17,158.82,0,0,1
RJ Robinson (BMUDA),2007-2009,3,2,0,27,17,13.5,40,67.5,0,0,0
Rumman Raees (PAK),2017-2018,9,4,1,27,16,9,24,112.5,0,0,1
ED Solkar (INDIA),1974-1976,7,6,0,27,13,4.5,79,34.17,0,0,1
BA Williams (AUS),2002-2004,25,6,4,27,13*,13.5,46,58.69,0,0,2
Zakir Khan (PAK),1984-1990,17,5,4,27,11*,27,63,42.85,0,0,0
Aizaz Cheema (PAK),2011-2012,14,6,3,26,9*,8.66,45,57.77,0,0,0
BJ Diamanti (NZ),2009-2009,1,1,1,26,26*,-,22,118.18,0,0,0
BG Hadlee (NZ),1975-1975,2,2,1,26,19,26,93,27.95,0,0,0
RC Haynes (WI),1989-1991,8,6,1,26,18,5.2,66,39.39,0,0,2
Khurram Nawaz (OMAN),2019-2019,3,2,1,26,17*,26,49,53.06,0,0,0
A Kuruvilla (INDIA),1997-1997,25,11,4,26,7,3.71,43,60.46,0,0,1
Mosharraf Hossain (BDESH),2008-2016,5,5,1,26,8,6.5,75,34.66,0,0,0
MS Panesar (ENG),2007-2007,26,8,3,26,13,5.2,91,28.57,0,0,0
Pervez Mir (PAK),1975-1977,3,3,1,26,18,13,44,59.09,0,0,0
CEB Rice (SA),1991-1991,3,2,0,26,14,13,37,70.27,0,0,0
TG Shaw (SA),1991-1994,9,6,4,26,17*,13,35,74.28,0,0,1
SL Stewart (NZ),2010-2010,4,4,0,26,14,6.5,59,44.06,0,0,0
Tareq Aziz (BDESH),2002-2004,10,8,7,26,11*,26,73,35.61,0,0,1
BO van Rooi (NAM),2003-2003,3,3,2,26,17,26,38,68.42,0,0,0
RJ van Vuuren (NAM),2003-2003,5,5,2,26,14,8.66,38,68.42,0,0,2
Wasim Haider (PAK),1992-1992,3,2,0,26,13,13,70,37.14,0,0,0
Zain Abbas (HKG),2008-2008,1,1,1,26,26*,-,54,48.14,0,0,0
Sultan Zarawani (UAE),1994-1996,7,6,0,26,13,4.33,62,41.93,0,0,1
RJ Blakey (ENG),1992-1993,3,2,0,25,25,12.5,50,50,0,0,1
DK Butler (WI),2005-2006,5,4,3,25,13*,25,34,73.52,0,0,0
JJ Dawood (CAN),2009-2010,2,1,1,25,25*,-,19,131.57,0,0,0
MLC Foster (WI),1973-1973,2,1,0,25,25,25,62,40.32,0,0,0
S Jeganathan (SL),1983-1988,5,4,1,25,20*,8.33,39,64.1,0,0,0
KA Maharaj (SA),2017-2018,4,2,0,25,17,12.5,26,96.15,0,0,0
GMC Mol (NL),2007-2008,6,4,2,25,14,12.5,54,46.29,0,0,0
Nasir Ahmed (BDESH),1988-1990,7,4,2,25,11,12.5,62,40.32,0,0,0
A Patel (CAN),2003-2003,2,1,0,25,25,25,29,86.2,0,0,0
AK Sah (NEPAL),2018-2018,2,2,0,25,21,12.5,35,71.42,0,0,0
Saleem Altaf (PAK),1973-1978,6,2,1,25,21,25,53,47.16,0,0,0
Sayed Shirzad (AFG),2019-2019,2,1,0,25,25,25,17,147.05,0,0,0
Shahid Nazir (PAK),1996-2000,17,8,7,25,8,25,43,58.13,0,0,0
Sohail Khan (PAK),2008-2016,13,6,1,25,7,5,51,49.01,0,0,0
SW Tait (AUS),2007-2011,35,7,5,25,11,12.5,29,86.2,0,0,1
SK Atai (PNG),2019-2019,2,1,0,24,24,24,57,42.1,0,0,0
MR Benson (ENG),1986-1986,1,1,0,24,24,24,58,41.37,0,0,0
AN French (HKG),2004-2004,2,2,0,24,14,12,84,28.57,0,0,0
ST Gabriel (WI),2016-2019,25,16,9,24,12*,3.42,63,38.09,0,0,4
SF Graf (AUS),1980-1981,11,6,0,24,8,4,50,48,0,0,1
JPR Lamsam (HKG),2004-2008,2,2,0,24,16,12,47,51.06,0,0,0
SW Lubbers (NL),1996-1996,4,4,1,24,9,8,37,64.86,0,0,0
DJ Malan (ENG),2019-2019,1,1,0,24,24,24,30,80,0,0,0
MJ Mason (NZ),2003-2010,26,7,4,24,13*,8,45,53.33,0,0,1
Naeem Ashraf (PAK),1995-1995,2,2,1,24,16,24,43,55.81,0,0,0
SB O'Connor (NZ),1997-2000,38,13,6,24,8,3.42,91,26.37,0,0,3
SP Pasqual (SL),1979-1979,2,2,1,24,23*,24,28,85.71,0,0,0
N Pothas (SA),2000-2000,3,1,0,24,24,24,41,58.53,0,0,0
Rafiqul Alam (BDESH),1986-1986,2,2,0,24,14,12,63,38.09,0,0,0
Sheikh Salahuddin (BDESH),1997-1997,6,5,3,24,12,12,136,17.64,0,0,0
ML Su'a (NZ),1992-1995,12,7,2,24,12*,4.8,56,42.85,0,0,0
Amir Hamza (AFG),2012-2017,31,16,9,23,7,3.28,94,24.46,0,0,1
JO Angara (KENYA),1997-2003,17,11,5,23,6,3.83,64,35.93,0,0,1
HAG Anthony (WI),1995-1995,3,3,0,23,21,7.66,22,104.54,0,0,1
Asim Butt (SCOT),1999-1999,5,4,0,23,11,5.75,28,82.14,0,0,0
SV Bahutule (INDIA),1997-2003,8,4,1,23,11,7.66,29,79.31,0,0,0
SC Getkate (IRE),2019-2019,3,2,1,23,16*,23,23,100,0,0,0
AE Greenidge (WI),1978-1978,1,1,0,23,23,23,33,69.69,0,0,0
Hasti Gul (AFG),2009-2009,2,1,1,23,23*,-,11,209.09,0,0,0
E Katchay (CAN),2008-2009,5,3,1,23,12,11.5,41,56.09,0,0,0
J Louw (SA),2008-2008,3,1,0,23,23,23,7,328.57,0,0,0
SJ Massiah (USA),2004-2004,2,2,0,23,23,11.5,44,52.27,0,0,1
AJ Penn (NZ),1997-2001,5,3,1,23,15,11.5,33,69.69,0,0,0
V Razdan (INDIA),1989-1990,3,3,1,23,18,11.5,27,85.18,0,0,0
CP Tremain (AUS),2016-2016,4,3,2,23,23*,23,37,62.16,0,0,1
Afzaal Haider (HKG),2004-2008,4,4,1,22,22,7.33,52,42.3,0,0,2
UNK Fernando (SL),1994-1994,2,2,2,22,20*,-,25,88,0,0,0
DW Headley (ENG),1996-1999,13,6,4,22,10*,11,49,44.89,0,0,1
Kamran Shazad (UAE),2014-2015,4,3,1,22,13,11,25,88,0,0,1
Mohammad Salman (PAK),2011-2011,7,3,1,22,19*,11,39,56.41,0,0,1
Shafiuddin Ahmed (BDESH),1997-2000,11,10,6,22,11,5.5,66,33.33,0,0,3
BR Taylor (NZ),1973-1973,2,1,0,22,22,22,42,52.38,0,0,0
CM Wells (ENG),1985-1985,2,2,0,22,17,11,44,50,0,0,0
Ali Asad (UAE),2004-2004,2,2,1,21,12,21,47,44.68,0,0,0
B Arun (INDIA),1986-1987,4,3,1,21,8,10.5,32,65.62,0,0,0
AB Dinda (INDIA),2010-2013,13,5,0,21,16,4.2,36,58.33,0,0,2
Karan KC (NEPAL),2018-2019,5,4,0,21,18,5.25,23,91.3,0,0,2
S Keshvani (CAN),2009-2009,5,2,0,21,17,10.5,38,55.26,0,0,0
MAWR Madurasinghe (SL),1988-1992,12,6,4,21,8*,10.5,62,33.87,0,0,0
J Patraj (CAN),2007-2007,2,2,0,21,20,10.5,48,43.75,0,0,0
DA Stirling (NZ),1984-1984,6,5,2,21,13*,7,39,53.84,0,0,0
I Wardlaw (SCOT),2013-2015,22,14,8,21,7*,3.5,40,52.5,0,0,5
RA Woolmer (ENG),1972-1976,6,4,0,21,9,5.25,46,45.65,0,0,1
SP Davis (AUS),1986-1988,39,11,7,20,6,5,34,58.82,0,0,1
