Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
GD Campbell (AUS),1989-1990,12,3,1,6,4*,3,19,31.57,0,0,1
U Chatterjee (INDIA),1995-1995,3,2,1,6,3*,6,30,20,0,0,0
MT Chinouya (ZIM),2013-2013,2,2,1,6,6*,6,8,75,0,0,1
WP Diepeveen (NL),2011-2011,1,1,0,6,6,6,7,85.71,0,0,0
SO Dowrich (WI),2019-2019,1,1,0,6,6,6,8,75,0,0,0
CE Eksteen (SA),1991-1994,6,2,2,6,6*,-,25,24,0,0,0
Fahim Muntasir (BDESH),2001-2002,3,3,1,6,5,3,17,35.29,0,0,1
AP Grayson (ENG),2000-2001,2,2,0,6,6,3,13,46.15,0,0,1
Harilal Shah (EAf),1975-1975,3,3,0,6,6,2,56,10.71,0,0,2
Harvinder Singh (INDIA),1997-2001,16,5,1,6,3*,1.5,19,31.57,0,0,1
M Hendrick (ENG),1973-1981,22,10,5,6,2*,1.2,22,27.27,0,0,3
CC Henry (CAN),1979-1979,2,2,1,6,5,6,14,42.85,0,0,0
P Krishnamurthy (INDIA),1976-1976,1,1,0,6,6,6,13,46.15,0,0,0
MJ North (AUS),2009-2009,2,2,0,6,5,3,19,31.57,0,0,0
LN Oluoch (KENYA),2011-2011,2,2,1,6,5*,6,6,100,0,0,0
AK Patel (INDIA),1984-1985,8,2,0,6,6,3,11,54.54,0,0,1
DB Rundle (SA),1994-1994,2,2,0,6,6,3,11,54.54,0,0,1
Usman Shinwari (PAK),2017-2019,17,4,1,6,6,2,7,85.71,0,0,2
RJ Webb (NZ),1983-1983,3,1,1,6,6*,-,10,60,0,0,0
DJ Worrall (AUS),2016-2016,3,1,1,6,6*,-,4,150,0,0,0
Aijaz Ali (USA),2004-2004,2,2,0,5,4,2.5,11,45.45,0,0,0
RT Crandon (WI),2009-2009,1,1,0,5,5,5,9,55.55,0,0,0
N Fernandes (UAE),2008-2008,1,1,0,5,5,5,13,38.46,0,0,0
R Illingworth (ENG),1971-1973,3,2,0,5,4,2.5,18,27.77,0,0,0
Jalal-ud-Din (PAK),1982-1983,8,2,0,5,5,2.5,5,100,0,0,1
Jubair Hossain (BDESH),2014-2015,3,1,0,5,5,5,9,55.55,0,0,0
Junaid Siddique (UAE),2019-2020,6,4,3,5,2*,5,17,29.41,0,0,0
Khalid Khan (HKG),2004-2004,2,2,0,5,3,2.5,8,62.5,0,0,0
H McLeod (EAf),1975-1975,2,2,0,5,5,2.5,10,50,0,0,1
Mansoor Amjad (PAK),2008-2008,1,1,0,5,5,5,10,50,0,0,0
Maqsood Rana (PAK),1990-1990,1,1,0,5,5,5,13,38.46,0,0,0
Najeeb Tarakai (AFG),2017-2017,1,1,0,5,5,5,18,27.77,0,0,0
Naumanullah (PAK),2008-2008,1,1,0,5,5,5,4,125,0,0,0
Neeyamur Rashid (BDESH),1999-1999,2,2,1,5,4*,5,5,100,0,0,0
DJ Pringle (EAf),1975-1975,2,2,0,5,3,2.5,15,33.33,0,0,0
LN Rajbanshi (NEPAL),2019-2019,3,2,2,5,3*,-,20,25,0,0,0
D Ramnarine (WI),1997-2001,4,3,0,5,2,1.66,13,38.46,0,0,0
Sajjad Akbar (PAK),1990-1990,2,1,0,5,5,5,9,55.55,0,0,0
L Sivaramakrishnan (INDIA),1985-1987,16,4,2,5,2*,2.5,24,20.83,0,0,0
G Snyman (NAM),2003-2003,5,4,0,5,5,1.25,9,55.55,0,0,3
Talha Jubair (BDESH),2002-2003,6,5,3,5,4*,2.5,15,33.33,0,0,2
Tanbir Hayder (BDESH),2016-2016,2,2,0,5,3,2.5,16,31.25,0,0,0
DJ Terbrugge (SA),2000-2000,4,2,1,5,5,5,14,35.71,0,0,0
RK Whelan (IRE),2007-2007,2,2,0,5,5,2.5,12,41.66,0,0,1
Zawar Farid (UAE),2020-2020,1,1,0,5,5,5,15,33.33,0,0,0
Al-Amin Hossain (BDESH),2014-2015,14,7,5,4,2*,2,20,20,0,0,2
LS Bhandari (NEPAL),2018-2018,1,1,1,4,4*,-,9,44.44,0,0,0
MI Black (WI),2001-2001,5,2,0,4,4,2,14,28.57,0,0,1
PS Eaglestone (IRE),2008-2008,1,1,0,4,4,4,3,133.33,0,0,0
Fawad Ahmed (AUS),2013-2013,3,1,1,4,4*,-,2,200,0,0,0
PJ Franks (ENG),2000-2000,1,1,0,4,4,4,17,23.52,0,0,0
PLS Gamage (SL),2014-2017,9,5,3,4,3,2,27,14.81,0,0,0
D Ganesh (INDIA),1997-1997,1,1,0,4,4,4,8,50,0,0,0
WT Gavera (PNG),2014-2017,4,1,1,4,4*,-,6,66.66,0,0,0
Z Groenewald (NAM),2019-2019,4,2,1,4,3,4,19,21.05,0,0,0
Gursharan Singh (INDIA),1990-1990,1,1,0,4,4,4,10,40,0,0,0
SD Heazlett (AUS),2017-2017,1,1,0,4,4,4,11,36.36,0,0,0
Jahangir Alam (BDESH),1997-1999,3,3,0,4,3,1.33,22,18.18,0,0,1
ML Lewis (AUS),2005-2006,7,1,1,4,4*,-,4,100,0,0,0
CH Lonsdale (BMUDA),2007-2007,1,1,0,4,4,4,28,14.28,0,0,0
Mohammad Nazir (PAK),1980-1984,4,3,3,4,2*,-,16,25,0,0,0
GK Pandey (INDIA),1999-1999,2,2,1,4,4*,4,11,36.36,0,0,1
PI Pocock (ENG),1985-1985,1,1,0,4,4,4,9,44.44,0,0,0
LN Roche (ZIM),2018-2018,3,2,0,4,4,2,10,40,0,0,1
AM Salvi (INDIA),2003-2003,4,3,1,4,4*,2,14,28.57,0,0,2
Samiur Rahman (BDESH),1986-1986,2,2,0,4,4,2,7,57.14,0,0,1
BB Seebaran (CAN),2003-2003,4,3,2,4,4*,4,13,30.76,0,0,1
Shahzad Khan (CAN),2007-2007,1,1,0,4,4,4,12,33.33,0,0,0
B Stanlake (AUS),2017-2019,7,5,2,4,2,1.33,28,14.28,0,0,1
RW Staple (USA),2004-2004,2,2,0,4,4,2,11,36.36,0,0,1
PJR Steyn (SA),1995-1995,1,1,0,4,4,4,14,28.57,0,0,0
R Sudhakar Rao (INDIA),1976-1976,1,1,0,4,4,4,14,28.57,0,0,0
S Sumar (EAf),1975-1975,1,1,0,4,4,4,11,36.36,0,0,0
Tanveer Ahmed (HKG),2016-2018,6,4,4,4,2*,-,11,36.36,0,0,0
VAB Tewarie (NL),2011-2011,1,1,0,4,4,4,22,18.18,0,0,0
GS Trimble (AUS),1986-1986,2,2,1,4,4,4,5,80,0,0,0
T van der Gugten (NL),2012-2013,4,2,0,4,2,2,6,66.66,0,0,0
S Vesawkar (NEPAL),2018-2018,1,1,0,4,4,4,15,26.66,0,0,0
SL Watkin (ENG),1994-1994,4,2,0,4,4,2,23,17.39,0,0,1
UWMBCA Welegedara (SL),2009-2010,10,3,2,4,2*,4,9,44.44,0,0,0
RPAH Wickramaratne (SL),1993-1993,3,2,0,4,3,2,6,66.66,0,0,0
P Wilson (AUS),1997-1998,11,5,2,4,2,1.33,13,30.76,0,0,2
M Zondeki (Afr/SA),2002-2008,13,3,2,4,3*,4,5,80,0,0,1
SA Abbott (AUS),2014-2014,1,1,0,3,3,3,7,42.85,0,0,0
Abdullah Mazari (AFG),2010-2010,2,1,0,3,3,3,16,18.75,0,0,0
Ali Khan (USA),2019-2019,1,1,0,3,3,3,11,27.27,0,0,0
CR Amini (PNG),2014-2014,2,1,1,3,3*,-,3,100,0,0,0
RA Bhatti (CAN),2011-2011,1,1,1,3,3*,-,4,75,0,0,0
JWHD Boteju (SL),1999-1999,2,2,1,3,2,3,11,27.27,0,0,0
NR Dyer (SCOT),1999-1999,5,4,3,3,2*,3,14,21.42,0,0,1
D Gamage (SL),2003-2003,3,2,1,3,2*,3,10,30,0,0,0
LJ Hamilton (NZ),2005-2005,2,2,2,3,2*,-,6,50,0,0,0
RT Hart (NZ),1985-1985,1,1,0,3,3,3,29,10.34,0,0,0
PD Heyn (SL),1975-1975,2,2,0,3,2,1.5,20,15,0,0,0
Ijaz Ahmed jnr (PAK),1997-1997,2,1,1,3,3*,-,2,150,0,0,0
CK Kruger (HKG),2008-2008,2,2,0,3,3,1.5,20,15,0,0,1
Mahbubur Rahman (BDESH),1999-1999,1,1,0,3,3,3,8,37.5,0,0,0
Mazharul Haque (BDESH),2002-2002,1,1,0,3,3,3,18,16.66,0,0,0
MC Mendis (SL),1995-1995,1,1,1,3,3*,-,2,150,0,0,0
CT Mumba (ZIM),2016-2017,2,2,1,3,2*,3,7,42.85,0,0,0
DJ Murray (NZ),1994-1994,1,1,0,3,3,3,17,17.64,0,0,0
SV Nayak (INDIA),1981-1982,4,1,0,3,3,3,19,15.78,0,0,0
IE O'Brien (NZ),2008-2009,10,2,2,3,3*,-,11,27.27,0,0,0
Pankaj Singh (INDIA),2010-2010,1,1,1,3,3*,-,3,100,0,0,0
JM Patel (CAN),1979-1979,3,3,0,3,2,1,23,13.04,0,0,1
MJ Petrie (SCOT),2009-2009,4,2,0,3,3,1.5,18,16.66,0,0,1
GD Porter (AUS),1979-1979,2,1,0,3,3,3,9,33.33,0,0,0
U Ranchod (ZIM),1992-1993,3,1,1,3,3*,-,6,50,0,0,0
RE Redmond (NZ),1973-1973,2,1,0,3,3,3,11,27.27,0,0,0
Sagar Pun (NEPAL),2018-2018,1,1,0,3,3,3,20,15,0,0,0
A Shamshudeen (CAN),2007-2007,1,1,0,3,3,3,28,10.71,0,0,0
CEL Stuart (WI),2001-2001,5,1,1,3,3*,-,13,23.07,0,0,0
Usman Mushtaq (UAE),2015-2015,1,1,0,3,3,3,7,42.85,0,0,0
JN Valentine (CAN),1979-1979,3,2,2,3,3*,-,17,17.64,0,0,0
CJPG van Zyl (SA),1992-1992,2,2,1,3,3*,3,11,27.27,0,0,1
Yamin Ahmadzai (AFG),2015-2019,4,2,1,3,3*,3,19,15.78,0,0,1
Zahid Ahmed (PAK),1987-1987,2,2,1,3,3*,3,13,23.07,0,0,1
MZ Zahir (CAN),2009-2009,1,1,1,3,3*,-,13,23.07,0,0,0
Zakiullah Zaki (AFG),2012-2012,1,1,1,3,3*,-,22,13.63,0,0,0
JP Agnew (ENG),1985-1985,3,1,1,2,2*,-,3,66.66,0,0,0
Ahmed Shah (AFG),2009-2009,1,1,0,2,2,2,10,20,0,0,0
Anisur Rahman (BDESH),1995-1998,2,2,0,2,2,1,11,18.18,0,0,1
HWR Cartwright (AUS),2017-2017,2,2,0,2,1,1,23,8.69,0,0,0
DJ Cullen (AUS),2006-2006,5,1,1,2,2*,-,3,66.66,0,0,0
BR Dorey (AUS),2006-2006,4,1,0,2,2,2,8,25,0,0,0
WJ Edwards (AUS),1975-1975,1,1,0,2,2,2,14,14.28,0,0,0
Elias Sunny (BDESH),2011-2012,4,4,2,2,1*,1,11,18.18,0,0,1
Fahad Nawaz (UAE),2019-2019,2,2,0,2,2,1,10,20,0,0,1
PG Gillespie (IRE),2006-2007,5,4,0,2,2,0.5,14,14.28,0,0,3
AAW Gunawardena (SL),1994-1994,1,1,0,2,2,2,10,20,0,0,0
R Hekure (PNG),2019-2019,1,1,0,2,2,2,8,25,0,0,0
BE Hendricks (SA),2019-2019,4,1,1,2,2*,-,8,25,0,0,0
KC Hodsoll (BMUDA),2007-2008,3,2,1,2,2*,2,7,28.57,0,0,1
Hussain Talat (PAK),2019-2019,1,1,0,2,2,2,14,14.28,0,0,0
Ibrahim Zadran (AFG),2019-2019,1,1,0,2,2,2,9,22.22,0,0,0
Irfan Sajid (UAE),2014-2014,1,1,0,2,2,2,5,40,0,0,0
Junaid Zia (PAK),2003-2003,4,2,1,2,2*,2,7,28.57,0,0,1
K Kamyuka (CAN),2013-2013,2,1,0,2,2,2,2,100,0,0,0
Kashif Raza (PAK),2001-2001,1,1,1,2,2*,-,2,100,0,0,0
RJ Kirtley (ENG),2001-2004,11,2,0,2,1,1,11,18.18,0,0,0
Masood Iqbal (PAK),1984-1984,1,1,0,2,2,2,2,100,0,0,0
SC Meaker (ENG),2011-2011,2,2,0,2,1,1,16,12.5,0,0,0
DWO Morgan (BMUDA),2006-2006,2,2,0,2,1,1,11,18.18,0,0,0
Morshed Ali Khan (BDESH),1998-1998,3,1,1,2,2*,-,4,50,0,0,0
SP Mukherjee (INDIA),1990-1991,3,1,1,2,2*,-,2,100,0,0,0
Nadeem Khan (PAK),1993-1995,2,1,0,2,2,2,3,66.66,0,0,0
Nasir Javed (USA),2004-2004,1,1,1,2,2*,-,19,10.52,0,0,0
DR O'Sullivan (NZ),1974-1976,3,2,1,2,1*,2,5,40,0,0,0
R Pathan (CAN),2013-2013,1,1,0,2,2,2,9,22.22,0,0,0
MR Pydanna (WI),1980-1983,3,1,1,2,2*,-,3,66.66,0,0,0
ACL Richards (WI),2007-2007,1,1,0,2,2,2,2,100,0,0,0
Sameer Zia (UAE),2004-2004,1,1,1,2,2*,-,20,10,0,0,0
JNK Shannon (IRE),2013-2013,1,1,0,2,2,2,8,25,0,0,0
GJ Thompson (IRE),2008-2008,3,2,0,2,2,1,21,9.52,0,0,1
PIC Thompson (WI),1997-1997,2,1,0,2,2,2,7,28.57,0,0,0
MS Tshabalala (SA),2007-2007,4,1,1,2,2*,-,3,66.66,0,0,0
AP Weerakkody (SL),1994-1994,1,1,0,2,2,2,4,50,0,0,0
MD Wettimuny (SL),1983-1983,1,1,0,2,2,2,11,18.18,0,0,0
DF Whatmore (AUS),1980-1980,1,1,0,2,2,2,6,33.33,0,0,0
AGD Wickremasinghe (SL),1992-1993,4,1,0,2,2,2,10,20,0,0,0
Abdul Rehman (UAE),2004-2004,1,1,0,1,1,1,13,7.69,0,0,0
Abu Hider (BDESH),2018-2018,2,1,0,1,1,1,11,9.09,0,0,0
Alawi Shukri (UAE),2008-2008,1,1,0,1,1,1,3,33.33,0,0,0
Aminul Islam jnr (BDESH),1999-1999,1,1,1,1,1*,-,0,-,0,0,0
PJ Bakker (NL),1996-1996,5,1,1,1,1*,-,4,25,0,0,0
KMC Bandara (SL),2016-2016,1,1,1,1,1*,-,3,33.33,0,0,0
Bilal Khan (OMAN),2019-2020,6,3,1,1,1*,0.5,8,12.5,0,0,2
GA Cope (ENG),1977-1978,2,1,1,1,1*,-,1,100,0,0,0
MC Cowdrey (ENG),1971-1971,1,1,0,1,1,1,5,20,0,0,0
CI Dunusinghe (SL),1995-1995,1,1,0,1,1,1,1,100,0,0,0
MTG Elliott (AUS),1997-1997,1,1,0,1,1,1,6,16.66,0,0,0
Fareed Ahmad (AFG),2014-2017,5,2,2,1,1*,-,6,16.66,0,0,0
RS Ghai (INDIA),1984-1986,6,1,0,1,1,1,3,33.33,0,0,0
Gurdeep Singh (KENYA),2013-2013,1,1,0,1,1,1,23,4.34,0,0,0
Iqbal Sikander (PAK),1992-1992,4,1,1,1,1*,-,3,33.33,0,0,0
SA Jayasinghe (SL),1979-1979,2,1,0,1,1,1,3,33.33,0,0,0
SP Jones (ENG),2004-2005,8,1,0,1,1,1,2,50,0,0,0
Kaleemullah (OMAN),2019-2020,5,2,1,1,1*,1,5,20,0,0,1
S Kaul (INDIA),2018-2018,3,2,0,1,1,0.5,3,33.33,0,0,1
B Laughlin (AUS),2009-2009,5,1,1,1,1*,-,9,11.11,0,0,0
SCG MacGill (AUS),2000-2000,3,2,1,1,1,1,3,33.33,0,0,0
Mahmood Hamid (PAK),1995-1995,1,1,0,1,1,1,6,16.66,0,0,0
GJ McCarter (IRE),2014-2014,1,1,1,1,1*,-,1,100,0,0,0
JM Mennie (AUS),2016-2016,2,2,0,1,1,0.5,4,25,0,0,1
Mohammad Kashif (NL),2006-2010,11,3,0,1,1,0.33,17,5.88,0,0,2
Moniruzzaman (BDESH),2003-2003,2,2,0,1,1,0.5,20,5,0,0,1
PV Mpitsang (SA),1999-1999,2,1,1,1,1*,-,1,100,0,0,0
M Mulla (CAN),2007-2007,1,1,0,1,1,1,11,9.09,0,0,0
W Mwayenga (ZIM),2002-2004,3,2,0,1,1,0.5,11,9.09,0,0,1
DP Nannes (AUS),2009-2009,1,1,0,1,1,1,2,50,0,0,0
Nasim-ul-Ghani (PAK),1973-1973,1,1,0,1,1,1,8,12.5,0,0,0
NV Ojha (INDIA),2010-2010,1,1,0,1,1,1,7,14.28,0,0,0
G Onions (ENG),2009-2009,4,1,0,1,1,1,2,50,0,0,0
KA Patel (KENYA),2006-2006,2,2,1,1,1*,1,4,25,0,0,1
Y Punja (UAE),2015-2015,1,1,0,1,1,1,6,16.66,0,0,0
RR Ramdass (WI),2005-2005,1,1,0,1,1,1,9,11.11,0,0,0
SJ Roberts (NZ),1990-1990,2,1,1,1,1*,-,2,50,0,0,0
LC Romero (USA),2004-2004,2,2,0,1,1,0.5,7,14.28,0,0,1
R Sharma (INDIA),2011-2012,4,1,0,1,1,1,2,50,0,0,0
KJ Silva (SL),1995-1995,1,1,1,1,1*,-,1,100,0,0,0
AM Stuart (AUS),1997-1997,3,1,0,1,1,1,7,14.28,0,0,0
Subashis Roy (BDESH),2016-2016,1,1,1,1,1*,-,9,11.11,0,0,0
JP Taylor (ENG),1993-1993,1,1,0,1,1,1,8,12.5,0,0,0
LB Taylor (ENG),1986-1986,2,1,1,1,1*,-,6,16.66,0,0,0
JG Thomas (ENG),1986-1987,3,3,2,1,1*,1,7,14.28,0,0,1
S Tyagi (INDIA),2009-2010,4,1,1,1,1*,-,2,50,0,0,0
KPJ Warnaweera (SL),1990-1993,6,3,3,1,1*,-,11,9.09,0,0,0
BA Westdijk (NL),2011-2011,4,3,1,1,1*,0.5,6,16.66,0,0,2
J Yadav (INDIA),2016-2016,1,1,1,1,1*,-,1,100,0,0,0
NS Yadav (INDIA),1986-1987,7,2,2,1,1*,-,16,6.25,0,0,0
B Yograj Singh (INDIA),1980-1981,6,4,2,1,1,0.5,12,8.33,0,0,1
Yunus Badat (EAf),1975-1975,2,2,0,1,1,0.5,7,14.28,0,0,1
Aman Ali (UAE),2008-2008,1,1,0,0,0,0,2,0,0,0,1
J Angel (AUS),1994-1995,3,1,0,0,0,0,3,0,0,0,1
Anwar Hossain Monir (BDESH),2002-2002,1,1,1,0,0*,-,8,0,0,0,0
S Baksh (CAN),1979-1979,1,1,0,0,0,0,6,0,0,0,1
MRCN Bandaratilleke (SL),1998-1998,3,1,0,0,0,0,2,0,0,0,1
JE Benjamin (ENG),1994-1995,2,1,0,0,0,0,6,0,0,0,1
A Bhandari (INDIA),2000-2004,2,1,1,0,0*,-,0,-,0,0,0
DL Blake (USA),2004-2004,1,1,0,0,0,0,2,0,0,0,1
BP Bracewell (NZ),1978-1978,1,1,1,0,0*,-,4,0,0,0,0
RG Callender (CAN),1979-1979,2,2,0,0,0,0,5,0,0,0,2
NM Carter (SCOT),2013-2013,3,1,0,0,0,0,6,0,0,0,1
K Christie (HKG),2016-2016,1,1,0,0,0,0,3,0,0,0,1
JI de Villiers (NAM),2020-2020,2,1,0,0,0,0,2,0,0,0,1
Fahad Alhashmi (UAE),2008-2015,5,3,0,0,0,0,7,0,0,0,3
Fazle Mahmud (BDESH),2018-2018,2,2,0,0,0,0,9,0,0,0,2
R Flannigan (SCOT),2010-2010,1,1,0,0,0,0,2,0,0,0,1
LR Gibbs (WI),1973-1975,3,1,1,0,0*,-,0,-,0,0,0
N Gifford (ENG),1985-1985,2,1,0,0,0,0,8,0,0,0,1
VD Grandia (NL),2002-2002,1,1,0,0,0,0,5,0,0,0,1
Hamza Tahir (SCOT),2019-2019,6,2,0,0,0,0,2,0,0,0,2
RG Hart (NZ),2002-2002,2,1,0,0,0,0,9,0,0,0,1
Harunur Rashid (BDESH),1988-1988,2,2,0,0,0,0,17,0,0,0,2
SM Harwood (AUS),2009-2009,1,1,0,0,0,0,4,0,0,0,1
Ishtiaq Muhammad (HKG),2016-2016,1,1,1,0,0*,-,0,-,0,0,0
PHT Kaushal (SL),2015-2015,1,1,0,0,0,0,1,0,0,0,1
GJP Kruger (SA),2006-2006,3,2,1,0,0*,0,10,0,0,0,1
AGR Loudon (ENG),2006-2006,1,1,0,0,0,0,0,-,0,0,1
OC McCoy (WI),2018-2018,2,1,1,0,0*,-,1,0,0,0,0
AW Mathieson (NZ),2015-2015,1,1,1,0,0*,-,0,-,0,0,0
JP Millmow (NZ),1990-1990,5,1,1,0,0*,-,3,0,0,0,0
Mohammad Khalil (PAK),2005-2005,3,1,1,0,0*,-,0,-,0,0,0
Mohammad Talha (PAK),2014-2014,3,1,0,0,0,0,1,0,0,0,1
D Mohammed (WI),2006-2008,7,1,1,0,0*,-,2,0,0,0,0
Naeem Ahmed (PAK),1978-1978,1,1,1,0,0*,-,8,0,0,0,0
Najaf Shah (PAK),2007-2007,1,1,0,0,0,0,2,0,0,0,1
Naseer Malik (PAK),1975-1975,3,1,1,0,0*,-,13,0,0,0,0
Nasir Hameed (HKG),2004-2004,1,1,0,0,0,0,1,0,0,0,1
AM Nayar (INDIA),2009-2009,3,1,1,0,0*,-,7,0,0,0,0
N Ncube (ZIM),2011-2011,1,1,1,0,0*,-,0,-,0,0,0
A Neill (SCOT),2019-2019,1,1,1,0,0*,-,3,0,0,0,0
MB Owens (NZ),1992-1992,1,1,0,0,0,0,3,0,0,0,1
NM Parker (NZ),1976-1976,1,1,0,0,0,0,3,0,0,0,1
NT Pascal (WI),2009-2009,1,1,0,0,0,0,1,0,0,0,1
N Phillip (WI),1978-1978,1,1,0,0,0,0,5,0,0,0,1
AG Puttick (SA),2005-2005,1,1,0,0,0,0,5,0,0,0,1
NV Radford (ENG),1988-1988,6,3,2,0,0*,0,7,0,0,0,1
Rafiqul Islam (BDESH),2002-2002,1,1,0,0,0,0,5,0,0,0,1
CAK Rajitha (SL),2018-2019,9,3,2,0,0*,0,10,0,0,0,1
DR Ramsammy (CAN),2012-2012,1,1,0,0,0,0,3,0,0,0,1
N Ranatunga (SL),1993-1993,2,1,0,0,0,0,3,0,0,0,1
Raza Hasan (PAK),2014-2014,1,1,0,0,0,0,2,0,0,0,1
Rizwan Latif (UAE),2004-2004,1,1,0,0,0,0,2,0,0,0,1
Robiul Islam (BDESH),2013-2013,3,1,1,0,0*,-,1,0,0,0,0
Saqib Zulfiqar (NL),2019-2019,1,1,0,0,0,0,4,0,0,0,1
Shadab Kabir (PAK),1996-1996,3,3,0,0,0,0,5,0,0,0,3
Shakeel Khan (PAK),1987-1987,1,1,0,0,0,0,4,0,0,0,1
T Shamsi (SA),2016-2019,17,3,2,0,0*,0,2,0,0,0,1
Simandeep Singh (HKG),2018-2018,1,1,0,0,0,0,7,0,0,0,1
GS Sobers (WI),1973-1973,1,1,0,0,0,0,6,0,0,0,1
Tanvir Mehdi (PAK),1992-1992,1,1,0,0,0,0,5,0,0,0,1
M Venkataramana (INDIA),1988-1988,1,1,1,0,0*,-,0,-,0,0,0
R Walters (NAM),2003-2003,2,2,0,0,0,0,5,0,0,0,2
CM Willoughby (SA),2000-2003,3,2,0,0,0,0,4,0,0,0,2
Zakir Hossain (BDESH),1998-1998,1,1,0,0,0,0,1,0,0,0,1
Aamer Hameed (PAK),1977-1978,2,-,-,-,-,-,-,-,-,-,-
Abdur Rauf (PAK),2008-2008,4,-,-,-,-,-,-,-,-,-,-
Abu Jayed (BDESH),2019-2019,2,-,-,-,-,-,-,-,-,-,-
FS Ahangama (SL),1985-1985,1,-,-,-,-,-,-,-,-,-,-
GW Aldridge (NZ),2011-2011,2,-,-,-,-,-,-,-,-,-,-
ZS Ansari (ENG),2015-2015,1,-,-,-,-,-,-,-,-,-,-
Ariful Haque (BDESH),2018-2018,1,-,-,-,-,-,-,-,-,-,-
Ashfaq Ahmed (PAK),1994-1994,3,-,-,-,-,-,-,-,-,-,-
MD Bailey (NZ),1998-1998,1,-,-,-,-,-,-,-,-,-,-
GR Beard (AUS),1981-1981,2,-,-,-,-,-,-,-,-,-,-
T Bosch (SA),1992-1992,2,-,-,-,-,-,-,-,-,-,-
DR Briggs (ENG),2012-2012,1,-,-,-,-,-,-,-,-,-,-
SA Britton (IRE),2009-2009,1,-,-,-,-,-,-,-,-,-,-
WM Clark (AUS),1978-1978,2,-,-,-,-,-,-,-,-,-,-
DJ Colley (AUS),1972-1972,1,-,-,-,-,-,-,-,-,-,-
AN Connolly (AUS),1971-1971,1,-,-,-,-,-,-,-,-,-,-
NGB Cook (ENG),1984-1989,3,-,-,-,-,-,-,-,-,-,-
Dawlat Ahmadzai (AFG),2009-2010,3,-,-,-,-,-,-,-,-,-,-
M de Lange (SA),2012-2016,4,-,-,-,-,-,-,-,-,-,-
N Dutta (CAN),2013-2013,1,-,-,-,-,-,-,-,-,-,-
AM Fernando (SL),2017-2017,1,-,-,-,-,-,-,-,-,-,-
KADM Fernando (SL),2003-2003,1,-,-,-,-,-,-,-,-,-,-
TN Garwe (ZIM),2009-2009,1,-,-,-,-,-,-,-,-,-,-
BD Glover (NL),2019-2019,1,-,-,-,-,-,-,-,-,-,-
MS Gony (INDIA),2008-2008,2,-,-,-,-,-,-,-,-,-,-
FRMD Gunatilleke (SL),1979-1979,1,-,-,-,-,-,-,-,-,-,-
PL Harris (SA),2008-2008,3,-,-,-,-,-,-,-,-,-,-
CW Henderson (SA),2001-2001,4,-,-,-,-,-,-,-,-,-,-
RG Holland (AUS),1985-1985,2,-,-,-,-,-,-,-,-,-,-
Irfan Bhatti (PAK),1993-1993,1,-,-,-,-,-,-,-,-,-,-
F Jansen (NL),1996-1996,2,-,-,-,-,-,-,-,-,-,-
PS Jayaprakashdaran (SL),2005-2005,1,-,-,-,-,-,-,-,-,-,-
Jay Odedra (OMAN),2019-2019,2,-,-,-,-,-,-,-,-,-,-
R Kaia (ZIM),2015-2015,1,-,-,-,-,-,-,-,-,-,-
JC Kent (SA),2002-2002,2,-,-,-,-,-,-,-,-,-,-
VJ Kingma (NL),2014-2019,3,-,-,-,-,-,-,-,-,-,-
DV Lawrence (ENG),1991-1991,1,-,-,-,-,-,-,-,-,-,-
JL Louw (NAM),2003-2003,1,-,-,-,-,-,-,-,-,-,-
AJ Mackay (ZIM),2001-2001,3,-,-,-,-,-,-,-,-,-,-
GD McKenzie (AUS),1971-1971,1,-,-,-,-,-,-,-,-,-,-
GT Main (SCOT),2019-2019,1,-,-,-,-,-,-,-,-,-,-
Mohammad Abbas (PAK),2019-2019,3,-,-,-,-,-,-,-,-,-,-
Mohammed Siraj (INDIA),2019-2019,1,-,-,-,-,-,-,-,-,-,-
Mohibullah Oryakhel (AFG),2013-2013,2,-,-,-,-,-,-,-,-,-,-
J Nagenda (EAf),1975-1975,1,-,-,-,-,-,-,-,-,-,-
A Ndlovu (ZIM),2019-2019,2,-,-,-,-,-,-,-,-,-,-
RG Nijman (NL),2009-2009,1,-,-,-,-,-,-,-,-,-,-
AA Noffke (AUS),2008-2008,1,-,-,-,-,-,-,-,-,-,-
D Olivier (SA),2019-2019,2,-,-,-,-,-,-,-,-,-,-
C Overton (ENG),2018-2018,1,-,-,-,-,-,-,-,-,-,-
M Panchal (NL),2007-2007,1,-,-,-,-,-,-,-,-,-,-
JS Paris (AUS),2016-2016,2,-,-,-,-,-,-,-,-,-,-
SD Parry (ENG),2014-2014,2,-,-,-,-,-,-,-,-,-,-
Parvez Rasool (INDIA),2014-2014,1,-,-,-,-,-,-,-,-,-,-
RGM Patel (INDIA),1988-1988,1,-,-,-,-,-,-,-,-,-,-
D Paterson (SA),2017-2019,4,-,-,-,-,-,-,-,-,-,-
KG Perera (SL),1986-1986,1,-,-,-,-,-,-,-,-,-,-
P Raho (PNG),2014-2014,1,-,-,-,-,-,-,-,-,-,-
SHA Rance (NZ),2017-2017,2,-,-,-,-,-,-,-,-,-,-
Randhir Singh (INDIA),1981-1983,2,-,-,-,-,-,-,-,-,-,-
NLK Ratnayake (SL),1989-1990,2,-,-,-,-,-,-,-,-,-,-
